01521,42.0403,-72.1544,Holland,MA
01522,42.3755,-71.8706,Jefferson,MA
01523,42.451,-71.6868,Lancaster,MA
01524,42.237,-71.9188,Leicester,MA
01525,42.0973,-71.6448,Linwood,MA
01526,42.0945,-71.7476,Manchaug,MA
01527,42.1968,-71.7644,Millbury,MA
01529,42.0331,-71.5798,Millville,MA
01531,42.3198,-72.1306,New Braintree,MA
01532,42.3182,-71.6464,Northborough,MA
01534,42.1494,-71.6564,Northbridge,MA
01535,42.2665,-72.0821,North Brookfield,MA
01536,42.2297,-71.7037,North Grafton,MA
01537,42.1655,-71.886,North Oxford,MA
01538,42.0876,-71.6412,North Uxbridge,MA
01540,42.1129,-71.8687,Oxford,MA
01541,42.4508,-71.8762,Princeton,MA
01542,42.1997,-71.9069,Rochdale,MA
01543,42.3762,-71.949,Rutland,MA
01545,42.2848,-71.7205,Shrewsbury,MA
01546,42.3648,-71.8969,Shrewsbury,MA
01550,42.075,-72.0353,Southbridge,MA
01560,42.176,-71.6927,South Grafton,MA
01561,42.4435,-71.6861,South Lancaster,MA
01562,42.2441,-71.9906,Spencer,MA
01564,42.4354,-71.7752,Sterling,MA
01566,42.1126,-72.0842,Sturbridge,MA
01568,42.1756,-71.6032,Upton,MA
01569,42.0744,-71.6329,Uxbridge,MA
01570,42.0521,-71.8486,Webster,MA
01571,42.0489,-71.8932,Dudley,MA
01581,42.2679,-71.6176,Westborough,MA
01583,42.3584,-71.7838,West Boylston,MA
01585,42.2441,-72.1511,West Brookfield,MA
01586,42.1712,-71.8037,West Millbury,MA
01588,42.1153,-71.6644,Whitinsville,MA
01590,42.1266,-71.7552,Sutton,MA
01601,42.2626,-71.8023,Worcester,MA
01602,42.2703,-71.8417,Worcester,MA
01603,42.245,-71.838,Worcester,MA
01604,42.2541,-71.7746,Worcester,MA
01605,42.2894,-71.7888,Worcester,MA
01606,42.311,-71.7958,Worcester,MA
01607,42.2303,-71.7938,Worcester,MA
01608,42.2624,-71.8003,Worcester,MA
01609,42.2826,-71.8277,Worcester,MA
01610,42.2492,-71.8108,Worcester,MA
01611,42.2373,-71.875,Cherry Valley,MA
01612,42.3066,-71.9202,Paxton,MA
01613,42.2933,-71.802,Worcester,MA
01614,42.2626,-71.8023,Worcester,MA
01615,42.2626,-71.8023,Worcester,MA
01653,42.3648,-71.8969,Worcester,MA
01655,42.3648,-71.8969,Worcester,MA
01701,42.3007,-71.4255,Framingham,MA
01702,42.2822,-71.4339,Framingham,MA
01703,42.4464,-71.4594,Framingham,MA
01704,42.4464,-71.4594,Framingham,MA
01705,42.4464,-71.4594,Framingham,MA
01718,42.4851,-71.4328,Acton,MA
01719,42.4884,-71.5178,Boxborough,MA
01720,42.4751,-71.4483,Acton,MA
01721,42.2539,-71.4583,Ashland,MA
01730,42.4843,-71.2768,Bedford,MA
01731,42.4567,-71.2795,Hanscom Afb,MA
01740,42.4365,-71.6076,Bolton,MA
01741,42.5286,-71.3519,Carlisle,MA
01742,42.4567,-71.3747,Concord,MA
01745,42.2934,-71.5028,Fayville,MA
01746,42.2026,-71.4361,Holliston,MA
01747,42.1268,-71.5376,Hopedale,MA
01748,42.219,-71.5302,Hopkinton,MA
01749,42.3918,-71.5609,Hudson,MA
01752,42.3509,-71.5434,Marlborough,MA
01754,42.4321,-71.455,Maynard,MA
01756,42.0967,-71.5499,Mendon,MA
01757,42.1511,-71.5274,Milford,MA
01760,42.2875,-71.3574,Natick,MA
01770,42.2331,-71.3787,Sherborn,MA
01772,42.2939,-71.532,Southborough,MA
01773,42.4217,-71.3137,Lincoln,MA
01775,42.4308,-71.515,Stow,MA
01776,42.3837,-71.4282,Sudbury,MA
01778,42.3486,-71.3588,Wayland,MA
01784,42.2376,-71.562,Woodville,MA
01801,42.4829,-71.1574,Woburn,MA
01803,42.5089,-71.2004,Burlington,MA
01805,42.5048,-71.1956,Burlington,MA
01810,42.6496,-71.1565,Andover,MA
01812,42.6472,-71.1842,Andover,MA
01813,42.4793,-71.1523,Woburn,MA
01815,42.4793,-71.1523,Woburn,MA
01821,42.5519,-71.2518,Billerica,MA
01822,42.5584,-71.2689,Billerica,MA
01824,42.5911,-71.3556,Chelmsford,MA
01825,42.5751,-71.0787,North Reading,MA
01826,42.6764,-71.3186,Dracut,MA
01827,42.6739,-71.4952,Dunstable,MA
01830,42.7856,-71.0721,Haverhill,MA
01831,42.7711,-71.1221,Haverhill,MA
01832,42.7792,-71.1095,Haverhill,MA
01833,42.7281,-70.9822,Georgetown,MA
01834,42.753,-71.027,Groveland,MA
01835,42.7528,-71.0843,Haverhill,MA
01840,42.708,-71.1638,Lawrence,MA
01841,42.7115,-71.167,Lawrence,MA
01842,42.707,-71.1631,Lawrence,MA
01843,42.6911,-71.1605,Lawrence,MA
01844,42.728,-71.181,Methuen,MA
01845,42.6826,-71.109,North Andover,MA
01850,42.656,-71.3051,Lowell,MA
01851,42.6315,-71.3329,Lowell,MA
01852,42.6344,-71.2983,Lowell,MA
01853,42.6334,-71.3162,Lowell,MA
01854,42.6493,-71.3355,Lowell,MA
01860,42.8346,-71.0047,Merrimac,MA
01862,42.5757,-71.2902,North Billerica,MA
01863,42.6347,-71.3908,North Chelmsford,MA
01864,42.5819,-71.0947,North Reading,MA
01865,42.5379,-71.2689,Nutting Lake,MA
01866,42.5293,-71.2281,Pinehurst,MA
01867,42.528,-71.109,Reading,MA
01876,42.6028,-71.2232,Tewksbury,MA
01879,42.6724,-71.4158,Tyngsboro,MA
01880,42.5009,-71.0685,Wakefield,MA
01885,42.707,-71.0639,West Boxford,MA
01886,42.5864,-71.4401,Westford,MA
01887,42.5581,-71.1723,Wilmington,MA
01888,42.4793,-71.1523,Woburn,MA
01889,42.5716,-71.1096,North Reading,MA
01890,42.453,-71.1441,Winchester,MA
01899,42.6584,-71.137,Andover,MA
01901,42.4612,-70.9467,Lynn,MA
01902,42.4698,-70.942,Lynn,MA
01903,42.4668,-70.9495,Lynn,MA
01904,42.4889,-70.9647,Lynn,MA
01905,42.4694,-70.9728,Lynn,MA
01906,42.4633,-71.0111,Saugus,MA
01907,42.4746,-70.9098,Swampscott,MA
01908,42.4261,-70.9277,Nahant,MA
01910,42.4548,-70.9747,Lynn,MA
01913,42.8559,-70.9367,Amesbury,MA
01915,42.5608,-70.8759,Beverly,MA
01921,42.6797,-71.0114,Boxford,MA
01922,42.7568,-70.9351,Byfield,MA
01923,42.5694,-70.9425,Danvers,MA
01929,42.6286,-70.7828,Essex,MA
01930,42.6208,-70.6721,Gloucester,MA
01931,42.6159,-70.662,Gloucester,MA
01936,42.6354,-70.8791,Hamilton,MA
01937,42.5862,-70.9745,Hathorne,MA
01938,42.6809,-70.8494,Ipswich,MA
01940,42.5327,-71.0339,Lynnfield,MA
01944,42.5796,-70.7674,Manchester,MA
01945,42.4984,-70.8653,Marblehead,MA
01949,42.5942,-71.013,Middleton,MA
01950,42.813,-70.8847,Newburyport,MA
01951,42.7835,-70.8474,Newbury,MA
01952,42.8507,-70.8588,Salisbury,MA
01960,42.5326,-70.9612,Peabody,MA
01961,42.6354,-70.8791,Peabody,MA
01965,42.5581,-70.8257,Prides Crossing,MA
01966,42.658,-70.6194,Rockport,MA
01969,42.7138,-70.907,Rowley,MA
01970,42.5151,-70.9003,Salem,MA
01971,42.6354,-70.8791,Salem,MA
01982,42.6185,-70.8561,South Hamilton,MA
01983,42.6415,-70.9488,Topsfield,MA
01984,42.6017,-70.8786,Wenham,MA
01985,42.7949,-70.9778,West Newbury,MA
02018,42.1745,-70.8837,Accord,MA
02019,42.0746,-71.4768,Bellingham,MA
02020,42.0818,-70.6439,Brant Rock,MA
02021,42.1645,-71.1355,Canton,MA
02025,42.2395,-70.8128,Cohasset,MA
02026,42.2437,-71.1637,Dedham,MA
02027,42.18,-71.0892,Dedham,MA
